"p.theta","Time","beta","kappa","Mean.bias","Rate","Mean.rmse","Mean.ase","m.rate","true.rate","true.mean","CP","Scenario"
0.5,3,0.5,54.6989902010809,-0.610256384781563,0.3478981532328,0.643356948280679,0.64995941186714,0.348614,0.372733049065991,6.16043369783606,0.794,"censored"
0.5,3,0.5,61.713964607972,-0.616191552375772,0.347829689776721,0.643715400073525,0.648903056530551,0.348516,0.372733049065991,6.16043369783606,0.786,"censored"
0.5,3,0.5,69.6285875412516,-0.610685086019085,0.348049003541578,0.642767331307271,0.649650004542463,0.348728,0.372733049065991,6.16043369783606,0.79,"censored"
0.5,3,0.5,78.5582361105263,-0.609968730315383,0.348163559585631,0.641985893357158,0.649550897206809,0.348806,0.372733049065991,6.16043369783606,0.786,"censored"
0.5,3,0.5,88.633084178836,-0.607325682595626,0.348301824272272,0.63924480117948,0.649771887328831,0.348932,0.372733049065991,6.16043369783606,0.786,"censored"
0.5,3,0.5,100,-0.603451299171756,0.348451840170612,0.637939369617313,0.650272398944582,0.34908,0.372733049065991,6.16043369783606,0.784,"censored"
0.5,3,0.5,1.01,-3.45146882229645,0.21408316995257,1.32257476875095,1.1705586853283,0.288998,0.372733049065991,6.16043369783606,0.26,"truncated"
0.5,3,0.5,1.30302375195705,-3.19648031638515,0.233095529865502,1.57862100153394,1.35238174641012,0.301886,0.372733049065991,6.16043369783606,0.314,"truncated"
0.5,3,0.5,1.68106029521211,-2.79313935028613,0.255856306823096,1.61067292646249,1.64936493153002,0.308584,0.372733049065991,6.16043369783606,0.446,"truncated"
0.5,3,0.5,2.16877375557753,-2.6154089027619,0.26730840042518,2.14375315899614,1.89877001671713,0.318592,0.372733049065991,6.16043369783606,0.484,"truncated"
0.5,3,0.5,2.79798387736497,-2.35940572864187,0.281571847401022,2.17576268808621,2.11126813706897,0.322936,0.372733049065991,6.16043369783606,0.572,"truncated"
0.5,3,0.5,3.60974202950439,-2.0634745202233,0.295349254519996,3.04394654047524,2.56149159384976,0.330286,0.372733049065991,6.16043369783606,0.592,"truncated"
0.5,3,0.5,4.65700950780384,-1.94155777609676,0.301413460759638,2.87041295914059,2.63862684865383,0.3308,0.372733049065991,6.16043369783606,0.658,"truncated"
0.5,3,0.5,6.00811287302793,-1.70806342047235,0.311152787645782,3.35591374886919,2.96462187683657,0.334408,0.372733049065991,6.16043369783606,0.69,"truncated"
0.5,3,0.5,7.7512017603904,-1.66176010713117,0.313962607667558,3.96776933203385,3.21981903872675,0.338672,0.372733049065991,6.16043369783606,0.664,"truncated"
0.5,3,0.5,10,-1.351573875807,0.325783015930912,4.54894991937207,3.66227707260095,0.340668,0.372733049065991,6.16043369783606,0.732,"truncated"
0.5,3,0.5,10.1,-1.35543352315559,0.325662706873282,4.42283640014109,3.61637403868734,0.340812,0.372733049065991,6.16043369783606,0.734,"truncated"
0.5,3,0.5,11.3952934094239,-1.35758075325761,0.325518413686572,4.13177101686632,3.60580544044407,0.34223,0.372733049065991,6.16043369783606,0.714,"truncated"
0.5,3,0.5,12.8567041472137,-1.23153846873965,0.329821864076404,4.20945616730433,3.65397519675006,0.34274,0.372733049065991,6.16043369783606,0.758,"truncated"
0.5,3,0.5,14.5055362411542,-1.28763137051691,0.327945225773606,3.91891118004652,3.50142808938436,0.343242,0.372733049065991,6.16043369783606,0.774,"truncated"
0.5,3,0.5,16.3658258939587,-1.32407237820273,0.326973888470535,3.44467257547703,3.37772321580842,0.343348,0.372733049065991,6.16043369783606,0.746,"truncated"
0.5,3,0.5,18.464691876159,-1.22867513636969,0.33037172763869,3.46546569053205,3.48898310385863,0.34414,0.372733049065991,6.16043369783606,0.738,"truncated"
0.5,3,0.5,20.8327308557858,-1.2028016033788,0.331437317335469,3.57479847076926,3.55556682477716,0.344914,0.372733049065991,6.16043369783606,0.738,"truncated"
0.5,3,0.5,23.5044634278453,-1.22547895950045,0.33104845353307,4.5783584384019,3.80249494956604,0.345472,0.372733049065991,6.16043369783606,0.748,"truncated"
0.5,3,0.5,26.5188373456802,-1.21250825405631,0.331624179659454,4.8713720360746,3.8729184715408,0.346084,0.372733049065991,6.16043369783606,0.752,"truncated"
0.5,3,0.5,29.9197952901794,-1.20116159708146,0.332071345972547,4.578920633851,3.80546477441857,0.346598,0.372733049065991,6.16043369783606,0.76,"truncated"
0.5,3,0.5,33.7569154536131,-1.21998950398047,0.331569076015888,4.6321972620978,3.80066744053421,0.347182,0.372733049065991,6.16043369783606,0.77,"truncated"
0.5,3,0.5,38.0861342763402,-1.07918908264375,0.33637910690907,4.5236851747861,3.95447848665533,0.346874,0.372733049065991,6.16043369783606,0.764,"truncated"
0.5,3,0.5,42.9705618722388,-1.05891773693242,0.337107160830215,4.42442442845564,3.96369582541036,0.347226,0.372733049065991,6.16043369783606,0.762,"truncated"
0.5,3,0.5,48.4814020298973,-1.04280885387593,0.337533279842202,5.22787695437919,4.20619803927619,0.347654,0.372733049065991,6.16043369783606,0.776,"truncated"
0.5,3,0.5,54.6989902010809,-1.11022758581015,0.335165619710351,4.70256949431479,3.93517682161083,0.348614,0.372733049065991,6.16043369783606,0.78,"truncated"
0.5,3,0.5,61.713964607972,-1.08839454580009,0.33591233346213,4.79952521193157,3.97723939527814,0.348516,0.372733049065991,6.16043369783606,0.77,"truncated"
0.5,3,0.5,69.6285875412516,-1.07847704637605,0.336271536263593,4.44606635540501,3.91417714367178,0.348728,0.372733049065991,6.16043369783606,0.78,"truncated"
0.5,3,0.5,78.5582361105263,-1.04882372163984,0.337238714064623,4.5150156737202,3.94417594514496,0.348806,0.372733049065991,6.16043369783606,0.78,"truncated"
0.5,3,0.5,88.633084178836,-1.02589944203714,0.338018229471919,4.63264067419009,4.00531764087156,0.348932,0.372733049065991,6.16043369783606,0.786,"truncated"
0.5,3,0.5,100,-1.01849099950984,0.338293385045828,4.69051559820144,4.03344110881609,0.34908,0.372733049065991,6.16043369783606,0.782,"truncated"
1,3,0.5,1.01,-0.505822628336217,0.266582321667445,0.145488322052347,0.167462504688604,0.274028,0.377585818605566,3.08021684891803,0.162,"censored"
1,3,0.5,1.30302375195705,-0.513157177795708,0.27676237746443,0.13371918784242,0.153022180918251,0.284016,0.377585818605566,3.08021684891803,0.104,"censored"
1,3,0.5,1.68106029521211,-0.508167421337504,0.283534277450635,0.130798739660687,0.145634162991954,0.290178,0.377585818605566,3.08021684891803,0.078,"censored"
1,3,0.5,2.16877375557753,-0.449019684855051,0.294795326116499,0.134264933864622,0.144585342398639,0.301234,0.377585818605566,3.08021684891803,0.174,"censored"
1,3,0.5,2.79798387736497,-0.483722467379073,0.296514698944883,0.12089819252284,0.135019826954478,0.30261,0.377585818605566,3.08021684891803,0.078,"censored"
1,3,0.5,3.60974202950439,-0.412208039062704,0.307412490629012,0.127128509110128,0.13750546745455,0.312836,0.377585818605566,3.08021684891803,0.178,"censored"
1,3,0.5,4.65700950780384,-0.458275789421177,0.304803138978087,0.119255524394147,0.130579368444106,0.309928,0.377585818605566,3.08021684891803,0.086,"censored"
1,3,0.5,6.00811287302793,-0.425641295443359,0.310365452017451,0.121363699605711,0.131171479316417,0.314928,0.377585818605566,3.08021684891803,0.122,"censored"
1,3,0.5,7.7512017603904,-0.383202144270145,0.316599992322517,0.120104520701135,0.133069250312761,0.320838,0.377585818605566,3.08021684891803,0.204,"censored"
1,3,0.5,10,-0.38057554551627,0.319031754807353,0.126164114137007,0.130875329082105,0.322642,0.377585818605566,3.08021684891803,0.214,"censored"
1,3,0.5,10.1,-0.379697789859272,0.319182874067693,0.126270773689656,0.130889829738352,0.322768,0.377585818605566,3.08021684891803,0.218,"censored"
1,3,0.5,11.3952934094239,-0.359699732689894,0.321373675303086,0.126255398784567,0.132699796840123,0.32503,0.377585818605566,3.08021684891803,0.248,"censored"
1,3,0.5,12.8567041472137,-0.347845078518587,0.323191674357016,0.130404778015944,0.133141270888076,0.326378,0.377585818605566,3.08021684891803,0.296,"censored"
1,3,0.5,14.5055362411542,-0.341222913883106,0.323910040895175,0.131138021452349,0.133776662530606,0.327426,0.377585818605566,3.08021684891803,0.306,"censored"
1,3,0.5,16.3658258939587,-0.340958880065334,0.324213806285499,0.123933256954586,0.133469876366511,0.327634,0.377585818605566,3.08021684891803,0.312,"censored"
1,3,0.5,18.464691876159,-0.33935807092724,0.324954823251309,0.12465394583569,0.132964470260003,0.328156,0.377585818605566,3.08021684891803,0.31,"censored"
1,3,0.5,20.8327308557858,-0.331872322209416,0.326122451935725,0.12553232387068,0.133253538019256,0.329242,0.377585818605566,3.08021684891803,0.33,"censored"
1,3,0.5,23.5044634278453,-0.337030170362957,0.325993268401494,0.123313090597753,0.132310064982954,0.329184,0.377585818605566,3.08021684891803,0.302,"censored"
1,3,0.5,26.5188373456802,-0.33047557606802,0.326970190633206,0.122949035376191,0.132601442496711,0.330108,0.377585818605566,3.08021684891803,0.314,"censored"
1,3,0.5,29.9197952901794,-0.325033791924076,0.327799557789833,0.123882288234016,0.132833741446957,0.330876,0.377585818605566,3.08021684891803,0.332,"censored"
1,3,0.5,33.7569154536131,-0.319528495921186,0.328598300179441,0.123820147050508,0.133114490330867,0.33165,0.377585818605566,3.08021684891803,0.344,"censored"
1,3,0.5,38.0861342763402,-0.321725592368682,0.32867410474307,0.128454099354073,0.132618944901256,0.331468,0.377585818605566,3.08021684891803,0.326,"censored"
1,3,0.5,42.9705618722388,-0.317580875854247,0.329279578126387,0.128607902915601,0.132825419954156,0.332046,0.377585818605566,3.08021684891803,0.338,"censored"
1,3,0.5,48.4814020298973,-0.305298274122413,0.33048947915615,0.131244609707392,0.13403577728591,0.333202,0.377585818605566,3.08021684891803,0.398,"censored"
1,3,0.5,54.6989902010809,-0.297901760064808,0.331346060098807,0.130571518385855,0.134626941078469,0.334106,0.377585818605566,3.08021684891803,0.416,"censored"
1,3,0.5,61.713964607972,-0.299874892136738,0.331231456873801,0.130397805732821,0.134340480552792,0.333966,0.377585818605566,3.08021684891803,0.394,"censored"
1,3,0.5,69.6285875412516,-0.296612870922264,0.331677566593797,0.131016907920386,0.134540872258331,0.334414,0.377585818605566,3.08021684891803,0.406,"censored"
1,3,0.5,78.5582361105263,-0.293504348034191,0.332093808763672,0.131936519271539,0.134746385764378,0.334834,0.377585818605566,3.08021684891803,0.416,"censored"
1,3,0.5,88.633084178836,-0.291639849878088,0.332378404849663,0.132146187031117,0.134831378483226,0.3351,0.377585818605566,3.08021684891803,0.434,"censored"
1,3,0.5,100,-0.290024600066096,0.332625613857272,0.132673746867988,0.134903476792341,0.335314,0.377585818605566,3.08021684891803,0.436,"censored"
1,3,0.5,1.01,-1.45399755651112,0.164594490729812,0.283640113506438,0.28340748425924,0.274028,0.377585818605566,3.08021684891803,0.06,"truncated"
1,3,0.5,1.30302375195705,-1.42024630313883,0.169588145090053,0.239501681342193,0.26460398951314,0.284016,0.377585818605566,3.08021684891803,0.028,"truncated"
1,3,0.5,1.68106029521211,-1.35030027686231,0.179905032503064,0.257326387849149,0.27679826844714,0.290178,0.377585818605566,3.08021684891803,0.056,"truncated"
1,3,0.5,2.16877375557753,-1.3039345133265,0.186908181198579,0.278193307165473,0.283104756961376,0.301234,0.377585818605566,3.08021684891803,0.072,"truncated"
1,3,0.5,2.79798387736497,-1.26387162613878,0.193042869036096,0.284128039147007,0.284329239685764,0.30261,0.377585818605566,3.08021684891803,0.11,"truncated"
1,3,0.5,3.60974202950439,-1.17216974189113,0.207719811688022,0.352495266934588,0.319724623739936,0.312836,0.377585818605566,3.08021684891803,0.166,"truncated"
1,3,0.5,4.65700950780384,-1.15104584071417,0.21120899368881,0.31676011078406,0.316519258624343,0.309928,0.377585818605566,3.08021684891803,0.16,"truncated"
1,3,0.5,6.00811287302793,-1.07903576079037,0.222864904627061,0.343709818490027,0.343305703115482,0.314928,0.377585818605566,3.08021684891803,0.224,"truncated"
1,3,0.5,7.7512017603904,-1.01822084204529,0.232654511442231,0.409451035512885,0.374039717758981,0.320838,0.377585818605566,3.08021684891803,0.278,"truncated"
1,3,0.5,10,-0.941226608193868,0.245017606119114,0.401554099601505,0.399939665620597,0.322642,0.377585818605566,3.08021684891803,0.322,"truncated"
1,3,0.5,10.1,-0.937585260152458,0.245586836046135,0.402357115267898,0.401502855892006,0.322768,0.377585818605566,3.08021684891803,0.328,"truncated"
1,3,0.5,11.3952934094239,-0.93678870904325,0.245684222650636,0.403894801991169,0.403590943515302,0.32503,0.377585818605566,3.08021684891803,0.34,"truncated"
1,3,0.5,12.8567041472137,-0.875517837054884,0.255008660439818,0.411789271405117,0.428887710362473,0.326378,0.377585818605566,3.08021684891803,0.414,"truncated"
1,3,0.5,14.5055362411542,-0.916566607107892,0.248866517871554,0.43777340449813,0.414031756146321,0.327426,0.377585818605566,3.08021684891803,0.332,"truncated"
1,3,0.5,16.3658258939587,-0.902342464685695,0.251092823223892,0.412088987610532,0.416936778066184,0.327634,0.377585818605566,3.08021684891803,0.376,"truncated"
1,3,0.5,18.464691876159,-0.872276708479698,0.255770525907362,0.39869611720024,0.427218840715387,0.328156,0.377585818605566,3.08021684891803,0.414,"truncated"
1,3,0.5,20.8327308557858,-0.85780709983386,0.258035408418896,0.406903906952972,0.434175072126329,0.329242,0.377585818605566,3.08021684891803,0.434,"truncated"
1,3,0.5,23.5044634278453,-0.862582995116062,0.257537071579481,0.442329476061181,0.435970396495489,0.329184,0.377585818605566,3.08021684891803,0.442,"truncated"
1,3,0.5,26.5188373456802,-0.851687224354054,0.259246089050993,0.44925470843742,0.441424498197041,0.330108,0.377585818605566,3.08021684891803,0.446,"truncated"
1,3,0.5,29.9197952901794,-0.840540738789582,0.260979262752104,0.451456314818398,0.446442486264752,0.330876,0.377585818605566,3.08021684891803,0.446,"truncated"
1,3,0.5,33.7569154536131,-0.833483512736971,0.262094987931998,0.468139378674175,0.451599953892263,0.33165,0.377585818605566,3.08021684891803,0.464,"truncated"
1,3,0.5,38.0861342763402,-0.791265015029989,0.268452902222418,0.522157038775791,0.479121498075314,0.331468,0.377585818605566,3.08021684891803,0.458,"truncated"
1,3,0.5,42.9705618722388,-0.785473029681156,0.269350324755784,0.521544863602166,0.481494124369726,0.332046,0.377585818605566,3.08021684891803,0.482,"truncated"
1,3,0.5,48.4814020298973,-0.778138667806168,0.270296452964357,0.514056075356947,0.483147107265403,0.333202,0.377585818605566,3.08021684891803,0.484,"truncated"
1,3,0.5,54.6989902010809,-0.784915350170314,0.269297240192367,0.471788311639364,0.473400304989784,0.334106,0.377585818605566,3.08021684891803,0.494,"truncated"
1,3,0.5,61.713964607972,-0.781812688283614,0.269798943293756,0.472812841799437,0.474943160375728,0.333966,0.377585818605566,3.08021684891803,0.508,"truncated"
1,3,0.5,69.6285875412516,-0.780502179157293,0.270023752118682,0.474439185285748,0.475719842512265,0.334414,0.377585818605566,3.08021684891803,0.508,"truncated"
1,3,0.5,78.5582361105263,-0.781076513022434,0.269965161570928,0.469055078767685,0.474717128409468,0.334834,0.377585818605566,3.08021684891803,0.498,"truncated"
1,3,0.5,88.633084178836,-0.776651405215991,0.270635814931977,0.469614325386349,0.476829785491644,0.3351,0.377585818605566,3.08021684891803,0.502,"truncated"
1,3,0.5,100,-0.772078109193477,0.271325042361102,0.467147621411746,0.478604907703992,0.335314,0.377585818605566,3.08021684891803,0.516,"truncated"
1.5,3,0.5,1.01,-0.36138159847965,0.269877420830841,0.0952782340751154,0.128868482636364,0.277826,0.382436921936738,2.78065126162891,0.178,"censored"
1.5,3,0.5,1.30302375195705,-0.380437754465194,0.277872474163578,0.0864296107339231,0.113166207817683,0.286572,0.382436921936738,2.78065126162891,0.072,"censored"
