"p.scale","p.theta","kappa","scale","r.scale","sd.scale","shape","r.shape","sd.shape","Mean.bias","Rate","m.rate","true.rate","CP","Scenario"
0.5,0.5,2.79798387736497,0.38111466201517,0.0990874883443742,0.0989938319699201,0.49363718276727,0.0224484583454673,0.0230079593838475,-0.220248429898524,0.200918257757585,0.221968,0.243116734434214,0.75,"truncated"
0.5,0.5,3.60974202950439,0.39439226217969,0.120628502086781,0.110367993561653,0.494013174546777,0.0232395614875892,0.0232732966550425,-0.194877710460152,0.20915019237448,0.22469,0.243116734434214,0.784,"truncated"
0.5,0.5,4.65700950780384,0.422006758224634,0.135677245431626,0.127004985991317,0.497347013038234,0.0238795633315969,0.0237935563804164,-0.146768188339687,0.221539322322603,0.23244,0.243116734434214,0.858,"truncated"
0.5,0.5,6.00811287302793,0.444120223092614,0.144911558629564,0.135244685129234,0.499187846045879,0.0241335841326803,0.0239390823574116,-0.109803777934132,0.226849927842794,0.232232,0.243116734434214,0.844,"truncated"
0.5,0.5,7.7512017603904,0.444424684927799,0.132193528495366,0.133958458967225,0.499780699657276,0.0241324477426348,0.0241672596590733,-0.106229556476385,0.227604538514239,0.236234,0.243116734434214,0.866,"truncated"
0.5,0.5,10,0.474192240004777,0.161850447638659,0.154003635451189,0.498157467482088,0.0246580802561366,0.024402960142598,-0.0588879562835778,0.238793975772704,0.238552,0.243116734434214,0.896,"truncated"
0.5,0.5,10.1,0.45335093177855,0.136213989255791,0.135859118532139,0.501459851552499,0.022694810455221,0.0242740435040193,-0.110095374355614,0.229088947545803,0.236676,0.243116734434214,0.896,"truncated"
0.5,0.5,11.3952934094239,0.465648768856772,0.15521693898035,0.149862624903126,0.499461620815389,0.0235784547915184,0.0243973512248769,-0.0593774121695679,0.23703881358226,0.237788,0.243116734434214,0.91,"truncated"
0.5,0.5,12.8567041472137,0.457001004344784,0.151584383732425,0.145961248597634,0.500444189016707,0.0234880400966915,0.024366977185393,-0.0806020843727246,0.234988359934193,0.237928,0.243116734434214,0.896,"truncated"
0.5,0.5,14.5055362411542,0.474348545071553,0.147468011061599,0.149660910580185,0.498811223631492,0.0244266979352231,0.0244693717375583,-0.0408970752712143,0.237591645871729,0.240958,0.243116734434214,0.894,"truncated"
0.5,0.5,16.3658258939587,0.466676286666917,0.162932505526245,0.153225731911001,0.498020931240171,0.024159407160419,0.0243396609625485,-0.0672587970981262,0.237922574810667,0.23804,0.243116734434214,0.882,"truncated"
0.5,0.5,18.464691876159,0.464791293363669,0.144076423301062,0.145380868847481,0.502192111437034,0.0248409495092274,0.0244405627517356,-0.0691027884264426,0.235054288313944,0.238074,0.243116734434214,0.888,"truncated"
0.5,0.5,20.8327308557858,0.463419779558899,0.144990647182171,0.146473222378363,0.500378400972113,0.0231774378747921,0.0244732581742784,-0.0814787054062374,0.236154136283791,0.23837,0.243116734434214,0.904,"truncated"
0.5,0.5,23.5044634278453,0.480650830233935,0.144436271123603,0.150525340211298,0.4993253927154,0.023712788654671,0.0244288559814769,-0.0541783552342708,0.238728443366137,0.239036,0.243116734434214,0.92,"truncated"
0.5,0.5,26.5188373456802,0.488085489062359,0.150022905444189,0.153680479012532,0.500939924758859,0.024283951273311,0.0245918755532736,-0.0272832388594274,0.240057646135053,0.240484,0.243116734434214,0.896,"truncated"
0.5,0.5,29.9197952901794,0.482672085892409,0.141608556670575,0.151922395060321,0.499263087939471,0.0252505082126778,0.0246303657257053,-0.0282157755566668,0.239969726538226,0.242242,0.243116734434214,0.902,"truncated"
0.5,0.5,33.7569154536131,0.474724330217577,0.153739765175216,0.151854489548139,0.500762756331824,0.0234750772227859,0.0245499950188307,-0.0594012158286268,0.238641733685144,0.241444,0.243116734434214,0.902,"truncated"
0.5,0.5,38.0861342763402,0.487679171783384,0.154775190950872,0.156643885186349,0.503559701543782,0.0245301440732996,0.0247237977162961,-0.0464095888472367,0.241714486419819,0.243072,0.243116734434214,0.914,"truncated"
